===================================================================================================================
 100 CONTEXTUAL PROBES SUITE: 12.5M (1:15 Ratio)
===================================================================================================================
CATEGORY             | PROMPT                       | TARGET     | RANK    | P(target)  | CE(-logP)  | TOP 3 PREDICTED
-------------------------------------------------------------------------------------------------------------------
Identifier recovery  | return a +                   | b          | #68     | 0.00154    | 6.4777     | " w"(0.089), "_"(0.053), "."(0.034)
Identifier recovery  | x = 10\nprint(               | x          | #70     | 0.00149    | 6.5085     | " w"(0.084), "_"(0.059), "."(0.035)
Identifier recovery  | def __init__(self,           | name       | #7448   | 0.00001    | 12.0817    | " w"(0.091), "."(0.032), ","(0.022)
Identifier recovery  | self.name =                  | name       | #7301   | 0.00001    | 12.1217    | " w"(0.085), "_"(0.038), "."(0.034)
Identifier recovery  | total = sum(                 | items      | #1329   | 0.00010    | 9.2391     | " w"(0.087), "_"(0.051), "."(0.034)
Identifier recovery  | for elem in                  | lst        | #4924   | 0.00002    | 11.0789    | " w"(0.087), "_"(0.041), "."(0.034)
Identifier recovery  | res = val *                  | factor     | #97     | 0.00114    | 6.7736     | " w"(0.085), "_"(0.039), "."(0.033)
Identifier recovery  | msg = str(                   | err        | #4949   | 0.00001    | 11.1124    | " w"(0.082), "_"(0.050), "."(0.034)
Identifier recovery  | dx = x2 -                    | x1         | #69     | 0.00149    | 6.5085     | " w"(0.084), "_"(0.059), "."(0.035)
Identifier recovery  | data = json.loads(           | text       | #39     | 0.00260    | 5.9520     | " w"(0.091), "."(0.033), "_"(0.032)
Identifier recovery  | res = []\nfor x in           | items      | #1305   | 0.00010    | 9.1667     | " w"(0.085), "_"(0.039), "."(0.033)
Identifier recovery  | left +                       | right      | #6404   | 0.00001    | 11.8807    | " w"(0.087), "_"(0.056), "."(0.035)
Identifier recovery  | width *                      | height     | #1780   | 0.00007    | 9.5476     | " w"(0.085), "_"(0.044), "."(0.034)
Function names       | def get_                     | name       | #7309   | 0.00000    | 12.3265    | " w"(0.084), "_"(0.065), "."(0.035)
Function names       | def set_                     | val        | #1224   | 0.00011    | 9.1426     | " w"(0.073), "_"(0.069), "."(0.034)
Function names       | def parse_                   | data       | #230    | 0.00054    | 7.5214     | " w"(0.081), "_"(0.065), "."(0.035)
Function names       | def build_                   | model      | #4207   | 0.00002    | 10.8884    | " w"(0.081), "_"(0.065), "."(0.035)
Function names       | def test_                    | func       | #368    | 0.00035    | 7.9452     | " w"(0.081), "_"(0.067), "."(0.035)
Function names       | def process_                 | request    | #694    | 0.00019    | 8.5687     | " w"(0.081), "_"(0.065), "."(0.035)
Function names       | def validate_                | input      | #2800   | 0.00004    | 10.1482    | " w"(0.079), "_"(0.058), "."(0.034)
Function names       | def load_                    | config     | #3268   | 0.00003    | 10.4376    | " w"(0.081), "_"(0.065), "."(0.035)
Function names       | def save_                    | file       | #8191   | 0.00000    | 13.7023    | " w"(0.074), "_"(0.065), "."(0.034)
Function names       | def calculate_               | total      | #4502   | 0.00002    | 11.0054    | " w"(0.087), "_"(0.056), "."(0.034)
Function names       | def convert_                 | type       | #40     | 0.00240    | 6.0324     | " w"(0.078), "_"(0.067), "."(0.034)
Function names       | def read_                    | bytes      | #567    | 0.00023    | 8.3950     | " w"(0.084), "_"(0.063), "."(0.035)
Function names       | def create_                  | instance   | #275    | 0.00047    | 7.6575     | " w"(0.084), "_"(0.063), "."(0.035)
Keywords             | if x == 1:\n    pass\n       | else       | #363    | 0.00037    | 7.9023     | " w"(0.088), "_"(0.039), "."(0.034)
Keywords             | try:\n    pass\n             | except     | #545    | 0.00024    | 8.3305     | " w"(0.093), "_"(0.045), "."(0.033)
Keywords             | for i in                     | range      | #4070   | 0.00003    | 10.5918    | " w"(0.080), "_"(0.035), "."(0.032)
Keywords             | with open(path)              | as         | #7686   | 0.00000    | 12.3671    | " w"(0.088), "_"(0.033), "."(0.033)
Keywords             | if not                       | found      | #102    | 0.00109    | 6.8193     | " w"(0.084), "_"(0.044), "."(0.034)
Keywords             | while                        | True       | #515    | 0.00026    | 8.2505     | " w"(0.080), "_"(0.044), "."(0.033)
Keywords             | from typing                  | import     | #803    | 0.00018    | 8.6289     | " w"(0.088), "_"(0.035), "."(0.033)
Keywords             | assert x is                  | not        | #967    | 0.00015    | 8.8321     | " w"(0.084), "_"(0.048), "."(0.034)
Keywords             | if item                      | in         | #2195   | 0.00005    | 9.8865     | " w"(0.089), "_"(0.058), "."(0.034)
Keywords             | def func():\n                | return     | #279    | 0.00048    | 7.6510     | " w"(0.086), "."(0.031), "_"(0.025)
Keywords             | raise ValueError(            | msg        | #1287   | 0.00010    | 9.1898     | " w"(0.087), "_"(0.047), "."(0.035)
Keywords             | class MyClass(               | object     | #2884   | 0.00004    | 10.2234    | " w"(0.090), "_"(0.051), "."(0.034)
Keywords             | yield                        | from       | #297    | 0.00045    | 7.7136     | " w"(0.087), "_"(0.048), "."(0.034)
Operators            | x = a +                      | b          | #65     | 0.00156    | 6.4647     | " w"(0.081), "_"(0.058), "."(0.035)
Operators            | if a ==                      | b          | #67     | 0.00154    | 6.4733     | " w"(0.089), "_"(0.057), "."(0.034)
Operators            | x +=                         | 1          | #32     | 0.00299    | 5.8141     | " w"(0.084), "_"(0.058), "."(0.035)
Operators            | a >                          | 0          | #41     | 0.00244    | 6.0178     | " w"(0.084), "_"(0.058), "."(0.034)
Operators            | x = y *                      | z          | #303    | 0.00043    | 7.7472     | " w"(0.081), "_"(0.059), "."(0.035)
Operators            | a !=                         | None       | #1037   | 0.00013    | 8.9551     | " w"(0.087), "_"(0.058), "."(0.035)
Operators            | count = len(arr) -           | 1          | #32     | 0.00296    | 5.8214     | " w"(0.087), "_"(0.058), "."(0.035)
Operators            | if x <=                      | max_val    | #661    | 0.00020    | 8.5146     | " w"(0.090), "_"(0.051), "."(0.033)
Operators            | idx = (i + 1) %              | n          | #118    | 0.00099    | 6.9132     | " w"(0.090), "_"(0.053), "."(0.034)
Operators            | res = a &                    | b          | #66     | 0.00151    | 6.4969     | " w"(0.084), "_"(0.051), "."(0.034)
Operators            | flags = A |                  | B          | #192    | 0.00064    | 7.3478     | " w"(0.084), "_"(0.051), "."(0.034)
Operators            | val = x **                   | 2          | #48     | 0.00216    | 6.1363     | " w"(0.081), "_"(0.054), "."(0.033)
Literals             | if x is                      | None       | #1031   | 0.00013    | 8.9196     | " w"(0.087), "_"(0.050), "."(0.034)
Literals             | flag =                       | True       | #518    | 0.00026    | 8.2540     | " w"(0.082), "_"(0.038), "."(0.032)
Literals             | status =                     | False      | #360    | 0.00038    | 7.8859     | " w"(0.079), "_"(0.045), "."(0.033)
Literals             | count =                      | 0          | #39     | 0.00249    | 5.9970     | " w"(0.082), "_"(0.045), "."(0.034)
Literals             | name =                       | ""         | #4985   | 0.00002    | 11.0422    | " w"(0.082), "_"(0.038), "."(0.033)
Literals             | items =                      | []         | #54     | 0.00184    | 6.2961     | " w"(0.090), "_"(0.054), "."(0.034)
Literals             | data =                       | {}         | #1468   | 0.00009    | 9.2757     | " w"(0.080), "_"(0.039), "."(0.033)
Literals             | rate =                       | 0.0        | #39     | 0.00251    | 5.9866     | " w"(0.085), "_"(0.048), "."(0.034)
Literals             | idx =                        | -1         | #27     | 0.00329    | 5.7163     | " w"(0.087), "_"(0.054), "."(0.035)
Literals             | pi =                         | 3.14       | #78     | 0.00136    | 6.6007     | " w"(0.082), "_"(0.051), "."(0.033)
Literals             | res =                        | 1          | #37     | 0.00260    | 5.9531     | " w"(0.080), "_"(0.043), "."(0.033)
Literals             | msg =                        | "hello"    | #59     | 0.00164    | 6.4160     | " w"(0.079), "_"(0.048), "."(0.033)
Imports              | import                       | os         | #1186   | 0.00011    | 9.0902     | " w"(0.090), "_"(0.045), "."(0.034)
Imports              | import                       | sys        | #16     | 0.00556    | 5.1917     | " w"(0.090), "_"(0.045), "."(0.034)
Imports              | import                       | json       | #198    | 0.00063    | 7.3762     | " w"(0.090), "_"(0.045), "."(0.034)
Imports              | import                       | time       | #2582   | 0.00004    | 10.0355    | " w"(0.090), "_"(0.045), "."(0.034)
Imports              | import                       | math       | #1045   | 0.00013    | 8.9417     | " w"(0.090), "_"(0.045), "."(0.034)
Imports              | import                       | re         | #4051   | 0.00002    | 10.7542    | " w"(0.090), "_"(0.045), "."(0.034)
Imports              | import                       | random     | #856    | 0.00016    | 8.7230     | " w"(0.090), "_"(0.045), "."(0.034)
Imports              | from typing import           | List       | #1368   | 0.00010    | 9.2508     | " w"(0.090), "_"(0.041), "."(0.034)
Imports              | from pathlib import          | Path       | #597    | 0.00022    | 8.4220     | " w"(0.087), "_"(0.053), "."(0.033)
Imports              | import numpy as              | np         | #1012   | 0.00014    | 8.9102     | " w"(0.090), "_"(0.047), "."(0.034)
Imports              | import torch.nn as           | nn         | #4282   | 0.00002    | 10.8561    | " w"(0.090), "_"(0.043), "."(0.035)
Imports              | from collections import      | defaultdict | #520    | 0.00025    | 8.2795     | " w"(0.093), "_"(0.044), "."(0.034)
Imports              | import logging               | as         | #7636   | 0.00000    | 12.4082    | " w"(0.087), "_"(0.041), "."(0.034)
Class names          | class                        | Base       | #219    | 0.00059    | 7.4378     | " w"(0.087), "_"(0.035), "."(0.033)
Class names          | class                        | Model      | #2975   | 0.00004    | 10.1565    | " w"(0.087), "_"(0.035), "."(0.033)
Class names          | class                        | Config     | #4703   | 0.00002    | 10.9378    | " w"(0.087), "_"(0.035), "."(0.033)
Class names          | class                        | Trainer    | #8175   | 0.00000    | 13.3128    | " w"(0.087), "_"(0.035), "."(0.033)
Class names          | class                        | User       | #398    | 0.00034    | 7.9729     | " w"(0.087), "_"(0.035), "."(0.033)
Class names          | class                        | Dataset    | #889    | 0.00016    | 8.7268     | " w"(0.087), "_"(0.035), "."(0.033)
