===================================================================================================================
 100 CONTEXTUAL PROBES SUITE: 12.5M (1:1 Ratio)
===================================================================================================================
CATEGORY             | PROMPT                       | TARGET     | RANK    | P(target)  | CE(-logP)  | TOP 3 PREDICTED
-------------------------------------------------------------------------------------------------------------------
Identifier recovery  | return a +                   | b          | #315    | 0.00028    | 8.1954     | " w"(0.058), "_"(0.039), "."(0.028)
Identifier recovery  | x = 10\nprint(               | x          | #29     | 0.00441    | 5.4242     | " w"(0.058), "_"(0.038), "."(0.028)
Identifier recovery  | def __init__(self,           | name       | #172    | 0.00103    | 6.8786     | " w"(0.057), "_"(0.039), "."(0.028)
Identifier recovery  | self.name =                  | name       | #174    | 0.00101    | 6.9027     | " w"(0.058), "_"(0.038), "."(0.028)
Identifier recovery  | total = sum(                 | items      | #979    | 0.00009    | 9.3682     | " w"(0.056), "_"(0.036), "."(0.026)
Identifier recovery  | for elem in                  | lst        | #7227   | 0.00002    | 11.0283    | " w"(0.058), "_"(0.038), "."(0.028)
Identifier recovery  | res = val *                  | factor     | #302    | 0.00030    | 8.1199     | " w"(0.057), "_"(0.037), "."(0.027)
Identifier recovery  | msg = str(                   | err        | #3542   | 0.00003    | 10.3610    | " w"(0.058), "_"(0.039), "."(0.028)
Identifier recovery  | dx = x2 -                    | x1         | #32     | 0.00428    | 5.4547     | " w"(0.056), "_"(0.036), ","(0.026)
Identifier recovery  | data = json.loads(           | text       | #41     | 0.00372    | 5.5940     | " w"(0.058), "_"(0.040), "."(0.029)
Identifier recovery  | res = []\nfor x in           | items      | #993    | 0.00008    | 9.3837     | " w"(0.056), "_"(0.036), "."(0.026)
Identifier recovery  | left +                       | right      | #6998   | 0.00002    | 11.0141    | " w"(0.059), "_"(0.039), "."(0.029)
Identifier recovery  | width *                      | height     | #1194   | 0.00007    | 9.5729     | " w"(0.059), "_"(0.038), "."(0.029)
Function names       | def get_                     | name       | #172    | 0.00102    | 6.8838     | " w"(0.060), "_"(0.040), "."(0.029)
Function names       | def set_                     | val        | #3529   | 0.00003    | 10.3592    | " w"(0.059), "_"(0.039), "."(0.029)
Function names       | def parse_                   | data       | #1110   | 0.00007    | 9.5400     | " w"(0.060), "_"(0.040), "."(0.029)
Function names       | def build_                   | model      | #2718   | 0.00004    | 10.1984    | " w"(0.059), "_"(0.040), "."(0.029)
Function names       | def test_                    | func       | #779    | 0.00010    | 9.2246     | " w"(0.060), "_"(0.040), "."(0.029)
Function names       | def process_                 | request    | #3289   | 0.00003    | 10.2975    | " w"(0.059), "_"(0.039), "."(0.029)
Function names       | def validate_                | input      | #3878   | 0.00003    | 10.4069    | " w"(0.058), "_"(0.038), "."(0.028)
Function names       | def load_                    | config     | #5974   | 0.00002    | 10.7949    | " w"(0.059), "_"(0.039), "."(0.029)
Function names       | def save_                    | file       | #5558   | 0.00002    | 10.7084    | " w"(0.059), "_"(0.039), "."(0.028)
Function names       | def calculate_               | total      | #4455   | 0.00003    | 10.4995    | " w"(0.057), "_"(0.038), "."(0.028)
Function names       | def convert_                 | type       | #109    | 0.00152    | 6.4878     | " w"(0.059), "_"(0.039), "."(0.029)
Function names       | def read_                    | bytes      | #1174   | 0.00007    | 9.5635     | " w"(0.058), "_"(0.039), "."(0.028)
Function names       | def create_                  | instance   | #842    | 0.00009    | 9.2930     | " w"(0.059), "_"(0.040), "."(0.029)
Keywords             | if x == 1:\n    pass\n       | else       | #538    | 0.00014    | 8.8608     | " w"(0.059), "_"(0.039), "."(0.028)
Keywords             | try:\n    pass\n             | except     | #3759   | 0.00003    | 10.3747    | " w"(0.058), "_"(0.038), "."(0.028)
Keywords             | for i in                     | range      | #7366   | 0.00002    | 11.0692    | " w"(0.058), "_"(0.037), "."(0.027)
Keywords             | with open(path)              | as         | #7328   | 0.00002    | 11.1043    | " w"(0.059), "_"(0.040), "."(0.029)
Keywords             | if not                       | found      | #305    | 0.00029    | 8.1298     | " w"(0.058), "_"(0.039), "."(0.028)
Keywords             | while                        | True       | #992    | 0.00008    | 9.4276     | " w"(0.059), "_"(0.039), "."(0.028)
Keywords             | from typing                  | import     | #1000   | 0.00008    | 9.4309     | " w"(0.059), "_"(0.039), "."(0.028)
Keywords             | assert x is                  | not        | #195    | 0.00083    | 7.0939     | " w"(0.057), "_"(0.038), "."(0.028)
Keywords             | if item                      | in         | #96     | 0.00169    | 6.3837     | " w"(0.059), "_"(0.040), "."(0.029)
Keywords             | def func():\n                | return     | #816    | 0.00010    | 9.1997     | " w"(0.056), "_"(0.034), "."(0.026)
Keywords             | raise ValueError(            | msg        | #315    | 0.00027    | 8.2031     | " w"(0.059), "_"(0.039), "."(0.029)
Keywords             | class MyClass(               | object     | #7879   | 0.00001    | 11.3228    | " w"(0.059), "_"(0.040), "."(0.029)
