===================================================================================================================
 100 CONTEXTUAL PROBES SUITE: 12.5M (1:10 Ratio)
===================================================================================================================
CATEGORY             | PROMPT                       | TARGET     | RANK    | P(target)  | CE(-logP)  | TOP 3 PREDICTED
-------------------------------------------------------------------------------------------------------------------
Identifier recovery  | return a +                   | b          | #63     | 0.00167    | 6.3934     | " w"(0.055), "_"(0.050), ","(0.023)
Identifier recovery  | x = 10\nprint(               | x          | #17     | 0.00412    | 5.4924     | "_"(0.065), " w"(0.051), ","(0.046)
Identifier recovery  | def __init__(self,           | name       | #443    | 0.00034    | 7.9865     | " w"(0.044), "#"(0.028), "_"(0.022)
Identifier recovery  | self.name =                  | name       | #1479   | 0.00009    | 9.3237     | "_"(0.084), " w"(0.068), "."(0.033)
Identifier recovery  | total = sum(                 | items      | #869    | 0.00013    | 8.9388     | " w"(0.067), "_"(0.063), ","(0.041)
Identifier recovery  | for elem in                  | lst        | #1662   | 0.00006    | 9.6841     | "_"(0.094), " w"(0.075), "."(0.050)
Identifier recovery  | res = val *                  | factor     | #86     | 0.00116    | 6.7560     | " w"(0.073), "_"(0.054), "."(0.044)
Identifier recovery  | msg = str(                   | err        | #2652   | 0.00004    | 10.1081    | "_"(0.082), " w"(0.070), "."(0.041)
Identifier recovery  | dx = x2 -                    | x1         | #23     | 0.00431    | 5.4468     | " w"(0.064), "vi"(0.036), "."(0.029)
Identifier recovery  | data = json.loads(           | text       | #28     | 0.00279    | 5.8809     | " w"(0.044), "_"(0.044), ","(0.022)
Identifier recovery  | res = []\nfor x in           | items      | #713    | 0.00016    | 8.7239     | "_"(0.080), " w"(0.071), "."(0.052)
Identifier recovery  | left +                       | right      | #3865   | 0.00004    | 10.1043    | " w"(0.047), "_"(0.023), "vi"(0.021)
Identifier recovery  | width *                      | height     | #5292   | 0.00002    | 10.8887    | "_"(0.093), " w"(0.066), "."(0.035)
Function names       | def get_                     | name       | #5458   | 0.00002    | 11.0368    | "_"(0.136), " w"(0.043), "."(0.030)
Function names       | def set_                     | val        | #3294   | 0.00006    | 9.7792     | "_"(0.122), ","(0.026), " w"(0.020)
Function names       | def parse_                   | data       | #502    | 0.00024    | 8.3301     | "_"(0.159), " w"(0.043), "."(0.030)
Function names       | def build_                   | model      | #3068   | 0.00003    | 10.4004    | "_"(0.123), " w"(0.064), "."(0.048)
Function names       | def test_                    | func       | #636    | 0.00024    | 8.3332     | "_"(0.115), " S"(0.016), " w"(0.015)
Function names       | def process_                 | request    | #365    | 0.00030    | 8.1209     | "_"(0.158), " w"(0.051), ","(0.037)
Function names       | def validate_                | input      | #1508   | 0.00007    | 9.5038     | "_"(0.100), " w"(0.076), "."(0.063)
Function names       | def load_                    | config     | #6086   | 0.00002    | 10.9431    | "_"(0.112), " w"(0.050), ","(0.033)
Function names       | def save_                    | file       | #8055   | 0.00000    | 12.6236    | "_"(0.138), ","(0.024), " w"(0.022)
Function names       | def calculate_               | total      | #2989   | 0.00004    | 10.0206    | "_"(0.115), " w"(0.044), ","(0.044)
