===================================================================================================================
 100 CONTEXTUAL PROBES SUITE: 12.5M (1:25 Ratio)
===================================================================================================================
CATEGORY             | PROMPT                       | TARGET     | RANK    | P(target)  | CE(-logP)  | TOP 3 PREDICTED
-------------------------------------------------------------------------------------------------------------------
Identifier recovery  | return a +                   | b          | #102    | 0.00112    | 6.7982     | " w"(0.077), "."(0.028), "#"(0.021)
Identifier recovery  | x = 10\nprint(               | x          | #62     | 0.00169    | 6.3814     | " w"(0.081), "."(0.030), "vi"(0.022)
Identifier recovery  | def __init__(self,           | name       | #5915   | 0.00001    | 11.3422    | " w"(0.081), "."(0.030), "vi"(0.020)
Identifier recovery  | self.name =                  | name       | #5623   | 0.00001    | 11.4435    | " w"(0.087), "."(0.048), "_"(0.034)
Identifier recovery  | total = sum(                 | items      | #820    | 0.00018    | 8.6180     | " w"(0.076), "."(0.032), "vi"(0.017)
Identifier recovery  | for elem in                  | lst        | #936    | 0.00016    | 8.7584     | " w"(0.074), "."(0.031), "_"(0.029)
Identifier recovery  | res = val *                  | factor     | #149    | 0.00080    | 7.1269     | " w"(0.079), "_"(0.051), "."(0.040)
Identifier recovery  | msg = str(                   | err        | #4229   | 0.00002    | 11.0223    | " w"(0.088), "_"(0.046), "."(0.046)
Identifier recovery  | dx = x2 -                    | x1         | #73     | 0.00131    | 6.6378     | " w"(0.072), "."(0.030), ","(0.017)
Identifier recovery  | data = json.loads(           | text       | #32     | 0.00297    | 5.8208     | " w"(0.085), "."(0.043), "_"(0.033)
Identifier recovery  | res = []\nfor x in           | items      | #1133   | 0.00013    | 8.9562     | " w"(0.076), "."(0.034), "vi"(0.021)
Identifier recovery  | left +                       | right      | #3902   | 0.00002    | 10.6159    | " w"(0.074), "."(0.032), ","(0.017)
Identifier recovery  | width *                      | height     | #3674   | 0.00002    | 10.6766    | " w"(0.072), "_"(0.066), "."(0.033)
Function names       | def get_                     | name       | #5664   | 0.00001    | 11.1295    | " w"(0.069), "_"(0.046), "."(0.029)
Function names       | def set_                     | val        | #5238   | 0.00002    | 10.8894    | " w"(0.067), "."(0.025), "_"(0.016)
Function names       | def parse_                   | data       | #440    | 0.00033    | 8.0057     | " w"(0.064), "_"(0.050), "."(0.027)
Function names       | def build_                   | model      | #2675   | 0.00005    | 9.9310     | " w"(0.063), "_"(0.048), "."(0.026)
Function names       | def test_                    | func       | #250    | 0.00055    | 7.4993     | " w"(0.059), "_"(0.042), "."(0.025)
Function names       | def process_                 | request    | #491    | 0.00032    | 8.0437     | " w"(0.068), "."(0.025), "_"(0.017)
Function names       | def validate_                | input      | #2614   | 0.00005    | 9.9466     | " w"(0.058), "_"(0.051), "vi"(0.026)
Function names       | def load_                    | config     | #4940   | 0.00002    | 10.7834    | " w"(0.066), "."(0.025), "_"(0.016)
Function names       | def save_                    | file       | #8177   | 0.00000    | 13.1373    | " w"(0.067), "_"(0.061), "."(0.028)
